species,Rep1,Rep2,Rep3,Rep5,Rep4,Rep7,Rep8,Rep6,Reads,Reads7,Individuals,BINs,Replicates,Replicates7,log_Individuals,log_Reads
Papilio nephelus,0,95,0,0,0,0,81,0,176,176,45,1,2,2,3.80666249,5.170483995
Papilio paris,808,873,908,232,1262,1100,1515,0,6698,6698,900,2,7,7,6.802394763,8.809564253
Papilio polytes,28,0,10,14,15,67,44,0,178,178,23,1,6,6,3.135494216,5.18178355
Papilio protenor,1233,1897,1788,559,2981,1720,3084,0,13262,13262,2737,1,7,7,7.914617709,9.492658082
Parantica aglea,0,20,0,0,0,36,0,0,56,56,81,1,2,2,4.394449155,4.025351691
Parantica melaneus,0,0,0,0,74,0,0,0,74,74,4,1,1,1,1.386294361,4.304065093
Parantica sita,0,0,12,0,6,0,0,0,18,18,289,1,2,2,5.666426688,2.890371758
Parasarpa dudu,39,90,0,0,84,98,0,0,311,311,71,2,4,4,4.262679877,5.739792912
Parnara ganga,0,0,0,0,61,0,0,0,61,61,1,1,1,1,0,4.110873864
Parthenos sylvia,42,42,71,0,38,42,0,0,235,235,27,1,5,5,3.295836866,5.459585514
Pieris canidia,0,124,175,0,107,118,240,0,764,764,152,2,5,5,5.023880521,6.638567789
Pieris rapae,105,65,64,66,0,0,0,0,300,300,19,2,4,4,2.944438979,5.703782475
Polygonia c-aureum,0,0,0,0,53,0,0,0,53,53,12,1,1,1,2.48490665,3.970291914
Polyura dolon,0,0,24,20,39,47,45,0,175,175,71,1,5,5,4.262679877,5.164785974
Prioneris thestylis,0,0,0,0,99,0,0,0,99,99,62,1,1,1,4.127134385,4.59511985
Pseudergolis wedah,215,329,309,82,458,388,336,0,2117,2117,153,1,7,7,5.030437921,7.657755271
Stibochiona nicea,0,28,0,0,42,53,0,0,123,123,51,1,3,3,3.931825633,4.812184355
Sumalia daraxa,56,17,34,15,36,27,57,0,242,242,114,1,7,7,4.736198448,5.488937726
Symbrenthia lilaea,48,32,135,10,137,55,172,0,589,589,160,1,7,7,5.075173815,6.378426184
Talbotia naganum,0,0,0,0,6,0,0,0,6,6,99,1,1,1,4.59511985,1.791759469
Tirumala septentrionis,796,753,843,209,1385,417,1029,0,5432,5432,706,1,7,7,6.559615237,8.600062669
Troides aeacus,34,0,33,0,34,22,24,0,147,147,47,1,5,5,3.850147602,4.990432587
Vanessa cardui,0,0,0,0,65,0,0,0,65,65,51,1,1,1,3.931825633,4.17438727
Vanessa indica,40,51,36,0,49,15,58,0,249,249,124,1,6,6,4.820281566,5.517452896
Vindula erota,467,535,619,141,779,546,870,0,3957,3957,142,1,7,7,4.955827058,8.283241441
Zemeros flegyas,0,48,0,0,0,70,0,0,118,118,48,1,2,2,3.871201011,4.770684624
